,MusicBrainz
http://purl.org/muto/core#Tag,0.0
http://purl.org/muto/core#Tagging,0.0
http://purl.org/ontology/mo/Label,0.0
http://purl.org/ontology/mo/MusicArtist,0.0
http://purl.org/ontology/mo/MusicGroup,0.0
http://purl.org/ontology/mo/Record,0.0
http://purl.org/ontology/mo/Release,0.0
http://purl.org/ontology/mo/ReleaseEvent,0.0
http://purl.org/ontology/mo/Signal,0.0
http://purl.org/ontology/mo/SignalGroup,0.0
http://purl.org/ontology/mo/SoloMusicArtist,0.0
http://www.w3.org/2003/01/geo/wgs84/pos#SpatialThing,1.0
